"id";"diametro";"valvula de compuerta";"Valvula de globo";"valvula de bola";"valvulas mariposa";"valvulas retencion (CHECK)(L/D=100)";"valvula retencion  Tipo oscilante (SWING)(L/D=50)";"valvulas de retencion (CHECK)(L/D=600)";"valvulas de retencion tipo obturador ascendente (LIFT)(L/D=55)";"Valvulas de Retencion (CHECK) 5grd";"Valvulas de retencion tipo disco inclinado 15grd";"T estandar flujo directo";"Codo estandar de 90 grd";"Codo estandar de 45 grd";"Codo de radio largo de 90grd";"Entrada proyectada dentro del tanque";"entrada bajo el nivel de agua"
1;"1/2";0.22;9.2;0.08;0.0;2.7;1.4;16.2;1.5;0.0;0.0;0.54;0.81;0.43;0.43;0.78;1.0
2;"3/4";0.2;8.5;0.08;0.0;2.5;1.3;15.0;1.4;0.0;0.0;0.5;0.75;0.4;0.4;0.78;1.0
3;"1";0.18;7.8;0.07;0.0;2.3;1.2;13.8;1.3;0.0;0.0;0.46;0.69;0.37;0.37;0.78;1.0
4;"1 1/4";0.18;7.5;0.07;0.0;2.2;1.1;13.2;1.2;0.0;0.0;0.44;0.66;0.35;0.35;0.78;1.0
5;"1 1/2";0.15;7.1;0.06;0.0;2.1;1.0;12.6;1.2;0.0;0.0;0.42;0.63;0.34;0.34;0.78;1.0
6;"2";0.15;6.5;0.06;0.86;1.9;1.0;11.4;1.1;0.76;2.3;0.38;0.57;0.3;0.3;0.78;1.0
7;"2 1/2";0.14;6.1;0.05;0.81;1.8;0.9;10.8;1.0;0.72;2.2;0.36;0.54;0.29;0.29;0.78;1.0
8;"3";0.14;6.1;0.05;0.81;1.8;0.9;10.8;1.0;0.72;2.2;0.36;0.54;0.29;0.29;0.78;1.0
9;"4";0.14;5.8;0.05;0.77;1.7;0.9;10.2;0.94;0.68;2.0;0.34;0.51;0.27;0.27;0.78;1.0
10;"6";0.12;5.1;0.05;0.68;1.5;0.75;9.0;0.83;0.6;1.8;0.3;0.45;0.24;0.24;0.78;1.0
11;"8";0.11;4.8;0.04;0.63;1.4;0.7;8.4;0.77;0.56;1.7;0.28;0.42;0.22;0.22;0.78;1.0
12;"9";0.11;4.8;0.04;0.63;1.4;0.7;8.4;0.77;0.56;1.7;0.28;0.42;0.22;0.22;0.78;1.0
13;"10";0.11;4.8;0.04;0.63;1.4;0.7;8.4;0.77;0.56;1.7;0.28;0.42;0.22;0.22;0.78;1.0
14;"11";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
15;"12";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
16;"13";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
17;"14";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
18;"15";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
19;"16";0.1;4.4;0.04;0.35;1.3;0.65;7.8;0.72;0.59;1.2;0.26;0.39;0.21;0.21;0.78;1.0
